skill_raw,skill_norm,course_count,domain,domain_confidence,domain_category_count,is_generic,aliases,example_courses
formatting,formatting,4,Technology Applications,0.333,3,0,formatting,Go Through Word 2019; Adobe InDesign Formatting Books; PowerPoint Beginnings
hacking,hacking,4,Programming,0.333,3,0,hacking,Hacking Basics of Computer Programming; Growth Hacking; Hacking White Hat Tools
job,job,4,Marketing Skills,0.333,3,0,job,Social Media for Job Prospecting; How To Pass An Interview; How companies operate
know,know,4,Banking Skills,0.333,3,0,know,Financial Inclusion; The Art of Happiness; Learn and Master Sales
leadership,leadership,4,General,0.333,3,1,leadership,How to manage your managers; Lead Your Company to Winning; Leadership Skills
manipulation,manipulation,4,Programming,0.667,2,0,manipulation,Launch Your MySQL Powers; Advanced JavaScript; PHP 2020 File and Error Handling
more,more,4,Graphic Design,0.333,3,0,more,03 D Max Hologram Design; Customer Magnet; Increasing Productivity and Time Management
organisational,organisational,4,Business Fundamentals,0.667,2,0,organisational,Business Acumen; Lead Your Company to Winning; Office Filling
proficiency,proficiency,4,Graphic Design,0.667,2,0,proficiency,Practice your Autocad Skills; How to Start your Advanced Level in Animate 2019; Excel Essential Training
python,python,4,Programming,0.667,2,0,"python, بايثون",Python Database; Python Basics 2020; Python Oriented Programming OOP
risk,risk,4,Project Management,0.667,2,0,risk,Risk Management; Risk Management and internal controls; Operational Risk
risk management,risk management,4,Project Management,0.667,2,0,risk management,Risk Management; Risk Management and internal controls; Operational Risk
students,students,4,General,0.667,2,0,students,PHP 2020 OOP; Ethical Decision Making in Business; Supply Chain Analytics
success,success,4,Career Development,0.667,2,1,success,Team Dynamics; Success Recipe to Become a Star; Shifting Focus from Team Member to Team Leader
thinking,thinking,4,Soft Skills,0.333,3,0,thinking,Logical Thinking; Critical Thinking; Analytical skills
time,time,4,Project Management,0.667,2,1,time,Increasing Productivity and Time Management; Healthy Living; Time Management
wordpress,wordpress,4,Web Development,0.667,2,0,wordpress,WordPress Your First Steps to Be a FullStack Developer; WordPress Plugins; Build a Stronger WordPress Website
yourself,yourself,4,Marketing Skills,0.333,3,0,yourself,Sell Yourself and Idea Personal Branding; How companies operate; Lead Yourself
adobe indesign,adobe indesign,3,Graphic Design,1.0,1,0,adobe indesign,Adobe InDesign Formatting Books; Adobe InDesign Advanced Techniques; Adobe InDesign Essentials
after,after,3,Graphic Design,1.0,1,0,after,After Effects 2019 Advanced Techniques; After Effects 2019 Effects Presets; After Effects 2019 Essentials
after effects,after effects,3,Graphic Design,1.0,1,0,after effects,After Effects 2019 Advanced Techniques; After Effects 2019 Effects Presets; After Effects 2019 Essentials
animation,animation,3,Graphic Design,1.0,1,0,animation,Adobe Animate CC 2019 Learn How to Make your Character Moves; Master The Animation in 3D Max; Adobe Animate CC 2019 for Beginners
build,build,3,General,0.667,2,0,"build, يو آي",How to manage your managers; Android Studio Build Your Own APK; Corporate Governance for Startups
career,career,3,Career Development,0.333,3,1,career,Customer Service Career; Building business relationships; Learn and Master Sales
communication,communication,3,Public Speaking,0.333,3,1,communication,Body Language Fundamentals; Communication Skills; Cross-cultural communication
control,control,3,Programming,0.333,3,0,control,Visual Basic Modeling Process; HACCP principles and application; Hacking Start your White Hat Path
css,css,3,Programming,0.667,2,0,css,HTML Web Design Tools; C 2019 ASPNet; CSS Basics
cybersecurity,cybersecurity,3,Data Security,0.667,2,0,cybersecurity,Cybersecurity Essentials; Hacking White Hat Tools; Hacking Create your Own Keylogger
databases,databases,3,Data Security,1.0,1,0,databases,Python Database; MySQL Kick Start Your Career in Databases; Be a MYSQL Hero
decision-making,decision-making,3,Personal Development,0.333,3,0,"decision-making, decisionmaking",Critical Thinking; Analytical skills; Data-Drive Decision Making
employees,employees,3,Career Development,0.333,3,0,employees,Art of Coaching; Giving Constructive Feedback; Employees Rights and Responsibilities
ethics,ethics,3,Ethics and Social Responsibility,0.333,3,0,ethics,Code of Ethics and Corporate Governance; Business Ethics; Business Ethics and Etiquette
